sr,activity_id,sr_problem_description,component_area,final_service_action_code,service_request_number,action_code,activity_type,activity_type_std,asset_install_date,cause,component_subsystem,component_sub_area,corrective_repair_flag,installed_country,modality,modality_grouping,current_modality,problem.1,problem_code,problem_duplicated,problem_found,psi_code,resolution_code_action_taken,service_request_status,service_request_type,service_request_type_std,date,time1,sr_close_date,sr_error_description,sr_error_flag,date,time2,sr_open_date,system_id
1479,a1K8b00000QUoWHEA1,Premium // Equipamento apresentando um barulho forte na mesa interferindo na imagem do exame.,,,7463767,,Field Service,Field Service,AUG-15-2017,Cabo de aço danificado,Tube,,Y,Brazil,CT,Multimodality,MMOD,Premium // Equipamento apresentando um barulho forte na mesa interferindo na imagem do exame.,,,Problema de movimento da mesa,CSEC11,Problema no movimento da mesa in/out;;Cabo de aço danificado ;Realizado a troca do cabo de aço ;Após troca o problema foi resolvido ;Não causou nenhum impacto no paciente ;Equipamento liberado para uso,Closed,Corrective Repair,Corrective Repair,08-06-2018,19:24,08-06-2018 19:24,,VALID,08-06-2018,14:50,08-06-2018 14:50,CT20157BG4
1480,a1K8b00000QUGqFEAX,No muestras estudios y no permite realizar nuevos,,,7359890,,Field Service,Field Service,MAY-17-2022,Software corrupted.,Detector,,Y,Peru,CT,,,No muestras estudios y no permite realizar nuevos,,,El problema ocurrió durante el inicio.;No se encontraron las imágenes del paciente.,CSPL18,Load from cold.,Closed,Corrective Repair,Corrective Repair,08-06-2018,04:57,08-06-2018 04:57,,VALID,08-06-2018,14:57,08-06-2018 14:57,CJRBX2100103CN
1481,a1K8b00000QUVmiEAH,"EL DETECTOR NO ESTA A LA TEMPERATURA ADECUADA, EPERE UNOS 35 MINUTOS A QUE EL DETECTOR ALCACE ESTA TEMPERATURA. SI DESA CONTINUAL LA EXPLORACION, SELECCIONE EL BOTON OK, LA CALDIAD PUEDE ALTERARSE Y APARECER ARTEFACTOS DE IMAGEN. YA SE CAMBIO EL REPUESTO.",,,7434148,,Remote Service,Remote Service,JUN-24-2013,Equipo operativo,Detector,,Y,Colombia,CT,,,"EL DETECTOR NO ESTA A LA TEMPERATURA ADECUADA, EPERE UNOS 35 MINUTOS A QUE EL DETECTOR ALCACE ESTA TEMPERATURA. SI DESA CONTINUAL LA EXPLORACION, SELECCIONE EL BOTON OK, LA CALDIAD PUEDE ALTERARSE Y APARECER ARTEFACTOS DE IMAGEN. YA SE CAMBIO EL REPUESTO.",,,Cliente reporta fallo de temperatura,CSEC06,"1. Se revisa el equipo y el cliente acababa de energizar el gantry e intento calibrar.
2. Se le recomienda que debe esperar minimo 45 minutos para poder calibrar despues de energizar.
3. No requiere accione",Closed,Corrective Repair,Corrective Repair,08-06-2018,11:32,08-06-2018 11:32,,VALID,08-06-2018,14:57,08-06-2018 14:57,CT331954HM8
1482,a1K8b00000QUYAjEAP,"LATAM BR Premium // está abortando na calibração, não libera para exames.",,,7445879,,Field Service,Field Service,JUL-01-2015,"Tubo de Raio-X com o FOCO GROSSO ABERTO.
Nesse cita a troca do Tubo de Raio-X.",Host machine,,Y,Brazil,MRI,,,"LATAM BR Premium // está abortando na calibração, não libera para exames.",,,"Equipamento está  abortando na calibração, não libera para exames.;Troca do Tubo de Raio-x.",CSPG88,Realizado teste de No Load KV e o equipamento passou nos testes.;Realizado teste de KV foco Grosso e deu erro.;Realizado teste de KV foco fino e passou no teste.;Realizado a verificação do oleo nos receptáculos do Tubo e nos tanques ok .;Medido o filamento do foco GROSSO ABERTO.;Medido filamento do foco FINO OK.;Realizado teste de No Load KV com o Tubo e o teste reprovou. Retirado os cabos do Tubo de Raio-X e refeito o Teste de No Load KV e passou confirmando a falha no Tubo de Raio-X.;Realizado a Troca do Tubo de Raio-X. Reset nos dados do gerador. Realizado Alinhamento Mecânico de posição do Tubo de Raio-X. Realizado Calibração do Filamento.  Checagem do Balanceamento do Gantry. Calibração do HOT ISO. Calibração do Colimador e Calibração Detalhada. Realizado calibração diária. Salvo System State.,Closed,Corrective Repair,Corrective Repair,08-06-2018,14:28,08-06-2018 14:28,,VALID,08-06-2018,15:40,08-06-2018 15:40,CT440269CN9
1483,a1K8b00000QVhDEEA1,No levanta tomo es  urgente,,,7537367,,Field Service,Field Service,SEP-19-2016,Falta debido a corte de voltaje de la sucursal,Magnet,,Y,Mexico HQ,MRI,,,No levanta tomo es  urgente,,,Equipo no enciende y aplicación no sube,CSPK07,Se realiza reinicio de equipo de manera total. Se revisan conexiones y funcionamiento de partes principales,Closed,Corrective Repair,Corrective Repair,08-06-2018,01:01,08-06-2018 01:01,,VALID,08-06-2018,18:04,08-06-2018 18:04,CTBARS1600001
1484,a1K8b00000QUAkPEAX,Equipamento desligando sozinho,,,7352891,,Field Service,Field Service,JAN-17-2020,Software corrupted.,Detector,,Y,Brazil,CT,,,Equipamento desligando sozinho,,,"Desligamento do sistema, após reconstrução.",CSEC11,"Realizado Load From could completo, feito a restauração do software após ações falha não foi verificada. Acompanhamento de exames sem nenhuma interrupção. Equipamento liberado para uso .",Closed,Corrective Repair,Corrective Repair,08-06-2018,21:53,08-06-2018 21:53,,VALID,08-06-2018,18:08,08-06-2018 18:08,CT57959BG9
1485,a1K8b00000QUIjKEAX,System no reboot for more than 8 days,,,7361723,,Remote Service,Remote Service,DEC-04-2020,No issue this is a proactive call,Tube,,Y,Peru,CT,,,System no reboot for more than 8 days,,,System no reboot for more than 8 days,CSRV01,Verifiqué remotamente el equipo y la consola ya había sido reiniciada. Se sugiere reiniciar la consola todos los días en cualquier horario,Closed,Corrective Repair,Corrective Repair,08-06-2018,06:08,08-06-2018 06:08,,VALID,08-06-2018,19:20,08-06-2018 19:20,REVVX2000046CN
1486,a1K8b00000QUxADEA1,"Quemador con boton para ingresar el disco duro, no funciona bien",,,7474062,,Field Service,Field Service,MAR-20-2009,Unidad DVD ; Defective part (please specify).,Tube,,Y,Colombia,CT,,,"Quemador con boton para ingresar el disco duro, no funciona bien",,,Instalación de repuestos,CUPG08,"Ago 26/22.-
Se reemplaza unidad DVD--OK.-
Se verifica correcto funcionamiento y grabación de estudios-OK.- ; Replaced ___.",Closed,Corrective Repair,Corrective Repair,08-06-2018,01:29,08-06-2018 01:29,,VALID,08-06-2018,19:42,08-06-2018 19:42,2774248VCT
1487,a1K8b00000QVNoWEAX,Al realizar estudio se reinicia - CT - PEREZ RAD - North,,,7498424,,Field Service,Field Service,JUL-01-2015,PDAS Power Supply salida nula,Host machine,,Y,Colombia,MRI,,,Al realizar estudio se reinicia - CT - PEREZ RAD - North,,,Reemplazo de PDAS Power Supply,CSPJ01,"Se procede con reemplazo de fuente de PDAS por nueva parte, se realizan ajustes según instrucción de manual de servicio 5411811-8EN, se ejecutan pruebas funcionales finales sin fallos o errores. Equipo funcionando adecuadamente.;;Herramienta de torque utilizada ;Ref 5135228;Sn 0718102513",Closed,Corrective Repair,Corrective Repair,09-06-2018,02:47,09-06-2018 02:47,,VALID,09-06-2018,01:23,09-06-2018 01:23,CT406487HM9
1488,a1K8b00000QVRepEAH,Case para debrief da peça 5350798-2,,,7522546,,Field Service,Field Service,OCT-26-2012,PEÇAS UTILIZADAS NA PREVENTIVA DO CT,Detector,,Y,Brazil,CT,CT,CT,Case para debrief da peça 5350798-2,,,PEÇAS UTILIZADAS NA PREVENTIVA DO CT,CSPG52,PEÇAS UTILIZADAS NA PREVENTIVA NA QUAL ESTAVAM COM ESCOVAS DANIFICAS PARA BAIXO SINAL,Closed,Corrective Repair,Corrective Repair,09-06-2018,01:40,09-06-2018 01:40,,VALID,09-06-2018,03:02,09-06-2018 03:02,CT428317CN2
1489,a1K8b00000QUC6jEAH,Artefactos en imagen. Se complica diagnosticar estudios.,,,7356021,,Remote Service,Remote Service,SEP-28-2016,errores de generación de RX,Detector,,Y,Puerto Rico,CT,,,Artefactos en imagen. Se complica diagnosticar estudios.,,,errores de generación de RX,CGS072,"Se realiza inspección remota, se encuentran errores relacionados a la generación de RX.
Se realiza análisis HVBAT
Se genera Split para atención en campo.",Closed,Corrective Repair,Corrective Repair,09-06-2018,19:30,09-06-2018 19:30,,VALID,09-06-2018,03:50,09-06-2018 03:50,CT234573HM4
1490,a1K8b00000QVCXvEAP,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,7503618,,Field Service,Field Service,JUL-02-2010,Falha de comunicação entre o Host e a DARC (HDIG),Detector,,Y,Brazil,CT,,,Premium//Maquina esta apresentando falha no sub gerenciamento do arquivamento de imagens. Desligando sozinha por conta disso.,,,"Ao tentar inicializar o Application Software, o equipamento esta apresentando falha no sub gerenciamento do arquivamento de imagens, o DARC. Em seguida, ele está desligando o sistema automaticamente.",CSPH03,"•	Ajustado as configurações da BIOS do Host HP xw8400.;•	Ajustado as configurações da BIOS da DIG.;•	Revalidado as configurações da BIOS do VeRB.;•	Checado a comunicação entre o Host HP e a HDIG (ping darc / ping darcrmm / ping darcbmc) e todos responderam com sucesso.;•	Checado a comunicação entre o Host HP e o VeRB (ping verb / ping verbrmm / ping verbbmc) e todos responderam com sucesso.;•	Efetuado checagem de todos as conexões de cabos interligando Host HP, HDIG, VeRB e ambos HSDA.;•	Efetuado acesso via browser no HDIG e VeRB para validação das configurações, seguindo a documentação SN11060212a. Foi observado que as configurações já estavam corretas, conforme o documento.;•	Efetuado resetImage DB.;•	Executado procedimento de Recreate SDDA. Porém, durante a tentativa de reboot do DARC, o sistema apresentou mensagem de “""darc: No route to host”.;•	Executado procedimento de LFC e, durante instalação do software para a DIG, o equipamento conseguiu instalar o software, mas não conseguiu fazer o reboot automático da DIG, solicitando que o mesmo fosse reinicializado manualmente.;•	A instalação do software para a VeRB funcionou com sucesso. O software foi instalado e o hardware recebeu o comando para reboot automático.;•	Durante a tentativa de ajuste do Date & Time, o sistema apontou falha de comunicação com a DARC, não permitindo a sincronização dos dados com a mesma.;•	Seguindo o procedimento de troubleshooting da HDIG, conforme o manual de serviços (5343532-2EN – Ver.27), em “DIG Computer System ID and Status LEDs”, foi observado que o LED A encontra-se ligado com a cor laranja (Solid On), o que indica ser um “Critical, non-recoverable” com descrição de falha de: “Fatal Alarm – system has failed or shutdown” com possibilidades em: “● DIMM Failure, no good memory present / ● IERR signal asserted / ● Processor 1 missing / ● Temperature (CPU ThernTrip, memory TempHi, critical threshold crossed)  / ● Power fault / ● Processor configuration error (for instance, processor stepping mismatch).;•	Foi efetuada a desmontagem da HDIG para verificação e limpeza de todo o hardware offboard.;•	Executado novo procedimento de LFC, porém o problema se repetiu.;;Como próxima ação, será necessário a substituição da HDIG (em processo de importação) e, após isso, fazer um novo LFC.",Closed,Corrective Repair,Corrective Repair,09-06-2018,03:29,09-06-2018 03:29,,VALID,09-06-2018,04:37,09-06-2018 04:37,2842841
1491,a1K8b00000QV2HdEAL,"Equipo se queda congelado al estar trabajando, equipo se reinicia de manera automatica y arroja un error en CPU al intentar iniciar.

Gerente Clinica: 55 4443 1228",,,7479924,,Field Service,Field Service,JUN-16-2017,Software issue.,Tube,,Y,Mexico HQ,CT,,,"Equipo se queda congelado al estar trabajando, equipo se reinicia de manera automatica y arroja un error en CPU al intentar iniciar.

Gerente Clinica: 55 4443 1228",,,"Pantalla de equipo se bloquea, no se pueden realizar estudios.",CSEC09,"Se finaliza recarga de software, se configuran todas las licencias y conexión remota insite. Se queda 1 tema pendiente de certificar tubo de Rx, ya que se necesita una llave adicional de servicio. Se programará visita en días próximos una vez que se tenga dicha llave. Esta situación no les afecta para realizar estudios ni afecta la operatividad del equipo.; Se corren pruebas y se deja equipo operando correctamente.",Closed,Corrective Repair,Corrective Repair,09-06-2018,04:14,09-06-2018 04:14,,VALID,09-06-2018,05:24,09-06-2018 05:24,CTE6PG1700025
1492,a1K8b00000QUwPzEAL,Scan interrompido pelo scanner,,,7473358,,Field Service,Field Service,MAR-26-2014,falha no Tubo de Raio-X,Host machine,,Y,Brazil,MRI,TUB,TUB,Scan interrompido pelo scanner,,,Cliente informa que não consegue realizar aquecimento do tubo de raio-X. Máquina aborta Scan.,CSPE55,"Ao chegar ao site identificamos através do log o evento ""60-0318 KV did not reach 75 percent after 20ms"".;Realizamos o teste NO LOAD KV com tubo conectado ao gerador e tivemos a falha ""SPIT MAX ERRO"".;Realizamos então novamente o teste NO LOAD KV desconectando o tubo de Raio-X do gerador de HV. Nessa configuração o teste foi executado com sucesso utilizando várias técnicas, inclusive 140KV 10 segundos.;Suspeitamos falha no Tubo de Raio-X. Vamos solicitar nova peça para continuarmos o teste.;Solicitamos orçamento de novo tubo de Raio-x para a troca. Após a aprovação do cliente e chegada da peça no site, realizamos a troca do tubo juntamente com suas calibrações mecânicas e eletrônicas. ;Realizado teste de qualidade de imagem com sucesso.;Equipamento testado e liberado para uso.;Backup do sistema após a troca do tubo realizado no servidor GE.;Dados do tubo danificado de Raio-X instalado no equipamento dia 08 março 2022 e atualmente 6502 pacientes.;Housing SN 191799BC6;Insert SN 172035BI8;;DAdos do tubo novo instalado dia 01/set/2022;Insert 175481BI1;Housing 196289BC3",Fixed,Corrective Repair,Corrective Repair,09-06-2018,21:05,09-06-2018 21:05,,VALID,09-06-2018,06:53,09-06-2018 06:53,CT348027HM4
1493,a1K8b00000QUwPQEA1,EQUIPAMENTO APRESENTANDO FALHA: SCAN INTERROMPIDO PELO SCANNER; TRAFO DE ENTRADA APRESENTANDO BARULHO DE PEÇA INTERNA QUEBRADA AO REALIZAR A TENTATIVA DO SCAN.,,,7464085,,Field Service,Field Service,JUN-18-2018,Falha no Tubo de Raio-X.,Tube,,Y,Brazil,CT,,,EQUIPAMENTO APRESENTANDO FALHA: SCAN INTERROMPIDO PELO SCANNER; TRAFO DE ENTRADA APRESENTANDO BARULHO DE PEÇA INTERNA QUEBRADA AO REALIZAR A TENTATIVA DO SCAN.,,,Troca do Tubo de Raio-X.,CSPL39,Realizado a Troca do Tubo de Raio-X. Reset nos dados do gerador. Realizado Alinhamento Mecânico de posição do Tubo de Raio-X. Realizado Calibração do Filamento. Realizado calibração do HHS Scans.  Checagem do Balanceamento do Gantry. Calibração do HOT ISO. Calibração do Colimador e Calibração Detalhada. Realizado calibração diária. Salvo System State DVD e USB.,Closed,Corrective Repair,Corrective Repair,09-06-2018,17:55,09-06-2018 17:55,,VALID,09-06-2018,10:48,09-06-2018 10:48,CJRBS1800004CN
1494,a1K8b00000QUJFPEA5,"Warranty// nao esta realizando exame , pq aparece a mensagem de erro scan interrompido pelo scanner",,,7361835,,Field Service,Field Service,NOV-12-2021,sensor filtro B colimador,Host machine,,Y,Brazil,MRI,,,"Warranty// nao esta realizando exame , pq aparece a mensagem de erro scan interrompido pelo scanner",,,Equipamento nao faz exames.,CSPL63,"detectado defeito no posicionamento do filtro B do colimador, reajustado sensor, equipamento totalemnte operacional",Closed,Corrective Repair,Corrective Repair,09-06-2018,04:22,09-06-2018 04:22,,VALID,09-06-2018,11:02,09-06-2018 11:02,CBDMG2100094HM
1495,,"Equipamento abortando a calibração. Mensagem Scan aborted by scanner.
Apis varias tentativas e desligamentos o equipamento passou na calibração.

Chamado DASA 115410",,,7457802,,,,MAR-02-2009,,Host machine,,N,Brazil,MRI,CT,CT,,,,,CSPC19,,Fixed,Corrective Repair,Corrective Repair,09-06-2018,18:45,09-06-2018 18:45,,VALID,09-06-2018,11:21,09-06-2018 11:21,2748467
1496,a1K8b00000QTwyUEAT,No enciende,,,7326524,,Field Service,Field Service,OCT-24-2017,Tubo defectuoso,Tube,,Y,Argentina,CT,,,No enciende,,,No emite RX,CSPL35,Provisión r instalación de un tubo de RX nuevo,Closed,Corrective Repair,Corrective Repair,09-06-2018,17:58,09-06-2018 17:58,,VALID,09-06-2018,12:42,09-06-2018 12:42,CT4861AR
1497,a1K8b00000QTtSCEA1,LATAM BR Performance // Falha no Scan,,,7329293,,Field Service,Field Service,DEC-17-2015,Tubo de rx,Host machine,,Y,Brazil,MRI,,,LATAM BR Performance // Falha no Scan,,,Abortando scan,CSPE55,"26 JUL - Realizada verificação do log de erros e visto que o erro 60-0318.;Realizada verificação do nível de óleo e cabos de alta tensao.;Testes no-load KV reprovam apenas com tubo conectado ao sistema.;Tubo de RX foi solicitado.;27 JUL - Substituição do tubo de RX, alinhamento mecânico, calibrações do gerador. Falta realizar calibração detalhada que será feita pelo FE Eduardo Silva  amanhã.;;Feito calibração das gan, colimador cal, calibração detalhada e fast cal.. feito teste com phantom e máquina liberada para uso",Closed,Corrective Repair,Corrective Repair,09-06-2018,11:32,09-06-2018 11:32,,VALID,09-06-2018,19:06,09-06-2018 19:06,CT411783HM4
1498,a1K8b00000QUHDsEAP,"Equipamento apresentando erro na reconstruçao e pede para desligar e nao libera exame.
 Image:NONE-NONE-NONE",,,7352867,,Field Service,Field Service,JUN-21-2011,"Hd no disk array com falha

RECON GPU falha ao inicializar

Host PC com defeito",Magnet,,Y,Brazil,MRI,,,"Equipamento apresentando erro na reconstruçao e pede para desligar e nao libera exame.
 Image:NONE-NONE-NONE",,,Falha no scan array,CSPG52,"Feito diagnóstico e constatado que o software não está inicializando devido a falha em um dos HDs do disk Array;;Foi solicitado um HD para troca;;04/08 - feito a troca do HD do disk array e feito LFC;;08/08 feito a troca da RECON GPU, testes com phantom e paciente OK;;Pelo período da tarde foi  eliminado mau contato na placa mãe e feito novo LFC.;;09/08 - Verificado no log de erro as seguintes falhas :;;- DC Bus out of Range;- Inverter gate command power supply;- rotor not at speed;- Touch sensor;- Slip ring down;- TGP lost communication;- Exposure interlock opened;- Falhas de Recon;- Buffer overrun na transferencia de dados do scan.;- falha intermitente de CAM A e B no colimador.;;Eliminado possibilidade de mau contato nas placas do Z800 no console, reconectado todos os cabos.;;Verificado as alimentações de entrada na PDU e reaperto nos conectores do HVDC e seus res.;;Aferido as conexões no circuito HVDC e de comunicação com a TGP no gantry.;;Constatado que o sensor do tilt está com trilha aberta, solicitado novo sensor.;;Feito limpeza nas trilhas do slip ring, aferido e aspirados as escovas.;;Constatado que o teclado esquerdo do gantry está prendendo botões, foi solicitado um novo teclado para a troca.;;Solicitado placa CCB e Colimador para diagnóstico.;;15/08 - feito a troca do host PCe LFC, feito diversos testes com phantom e não apresentou falha de recon",Closed,Corrective Repair,Corrective Repair,09-06-2018,13:59,09-06-2018 13:59,,VALID,09-06-2018,20:15,09-06-2018 20:15,1364533
1499,a1K8b00000QUC4sEAH,"buen dia. No hay comunicaciòn con la estaciòn de trabajo adw 4.5
 Image:NONE-NONE-NONE",,,7355325,,Field Service,Field Service,NOV-06-2010,Fin de vida de monitor,Detector,,Y,Mexico HQ,CT,CT,CT,"buen dia. No hay comunicaciòn con la estaciòn de trabajo adw 4.5
 Image:NONE-NONE-NONE",,,Equipo está perdiendo la conexión con la estación de trabajo y el monitor de la sala de exploración no funciona así como una tapa se encuentra lastimada,CSPG35,Se reemplaza monitor de la sala de exploración así como la reconexión y organización de los cables de la consola y switch según indicaciones del manual número 51 74162-800 no se utiliza herramienta calibrada equipo queda funciona al 100% para lo que fue diseñado,Fixed,Corrective Repair,Corrective Repair,10-06-2018,11:27,10-06-2018 11:27,,VALID,10-06-2018,00:01,10-06-2018 00:01,33VCT2884760
1500,a1K8b00000QUtWXEA1,System no reboot for more than 8 days,,,7469046,,Remote Service,Remote Service,MAY-20-2011,8 days without reboot,Magnet,,Y,Chile,MRI,,,System no reboot for more than 8 days,,,8 days without reboot,CSPE23,"Review booting dates, confirm detection, message sent to console operator",Closed,Corrective Repair,Corrective Repair,10-06-2018,21:58,10-06-2018 21:58,,VALID,10-06-2018,00:19,10-06-2018 00:19,HAPCT01
1501,a1K8b00000QUdwhEAD,"Presenta artefacto, aparece en todas las tomas, en las paranasales es en donde se norta mas, las imagenes salen granulosas",,,7452066,,Field Service,Field Service,DEC-23-2016,Mylar roto.,Host machine,,Y,Mexico HQ,MRI,,,"Presenta artefacto, aparece en todas las tomas, en las paranasales es en donde se norta mas, las imagenes salen granulosas",,,Artefacto (raya negra) en senos paranasales,CSEC09,Se realiza mantenimiento correctivo de acuerdo al manual de GE 5438996-8EN. Se realiza reemplazo de mylar y se realiza prueba.,Closed,Corrective Repair,Corrective Repair,10-06-2018,09:44,10-06-2018 09:44,,VALID,10-06-2018,00:41,10-06-2018 00:41,CTE6PG1600191
1502,a1K8b00000QU0nIEAT,No se puede hacer calibración-CT-radiologos,,,7332683,,Field Service,Field Service,APR-11-2011,FALLA DE LA TARJETA CONTROLADORA DEL COLIMADOR.,Tube,,Y,Colombia,CT,,,No se puede hacer calibración-CT-radiologos,,,SE PRORAMÓ EL REEMPLAZO DE LA TARJETA CONTROLADORA DEL COLIMADOR.,CUPBA6,"SE REALIZÓ EL REEMPLAZO DE LA TARJETA CONTROLADORA DEL COLIMADOR.

UNA VEZ REALIZADO EL PROCEDIMIENTO SE LLEVARON ACABO LOS TEST DE ""COLLIMATOR FUNCTIONAL"" EN VARIAS OPORTUNIDADES, SIN INCONVENIENTES.

EL EQUIPO SE ENCUENTRA AHORA OPERANDO NORMALMENTE.",Closed,Corrective Repair,Corrective Repair,10-06-2018,08:24,10-06-2018 08:24,,VALID,10-06-2018,00:59,10-06-2018 00:59,2904123ELITE
1503,a1K8b00000QVV32EAH,"EW// DRIVE DE DVD NÃO ESTA GRAVANDO
JÁ FORAM TESTADOS OUTRAS MÍDIAS.",,,7525668,,Remote Service,Remote Service,DEC-31-2020,Provável falha na mídia do cliente.,Tube,,Y,Brazil,CT,,,"EW// DRIVE DE DVD NÃO ESTA GRAVANDO
JÁ FORAM TESTADOS OUTRAS MÍDIAS.",,,Cliente abre chamado reportando que está com dificuldade para gravar exames em CD/DVD.,CSPL43,Contato realizado com o Sr. Ivomar. Foram realizados testes de gravação sem apresentar falhas. Erro não foi reproduzido.,Closed,Corrective Repair,Corrective Repair,10-06-2018,10:16,10-06-2018 10:16,,VALID,10-06-2018,02:00,10-06-2018 02:00,CJRBS2000009CN
1504,a1K8b00000QV2RTEA1,Scan stop,,,7476494,,Field Service,Field Service,JUL-22-2016,Falla del tubo de rayos X.,Detector,,Y,Colombia,CT,,,Scan stop,,,El equipo no permite hacer mas rayos X.,CSPI74,Fecha: 26/Ago/2022.;Serial: CJRMX1600007CN.;Equipo: Tomografo Optima CT 660.;Fabricación: 2016.;Se realiza procedimiento de cambio de tubo de rayos X.;Se hacen alineaciones en el eje Z y alineación ISO.;Se verifica balance del gantry.;Se hace ajuste hot ISO.;Se hacen las calibraciones respectivas.;Se hace paciente simulado con phantom verificando funcionamiento correcto del equipo e imágenes normales.;Se guarda system state con respaldo de configuraciones.;Tomógrafo funcionando correctamente.;Observaciones:;Tubo de Rx D3887T;Serial tubo nuevo: 100023BA1.;Serial tubo defectuoso: 452099TU5.;(Versión de software: 16HW45.1_SP1-2-3).;Herramientas: ;Herramientas de mano.;Diferencial - serial: 2011/1464.;Torquimetro - serial: 0221500152.,Closed,Corrective Repair,Corrective Repair,10-06-2018,05:35,10-06-2018 05:35,,VALID,10-06-2018,03:12,10-06-2018 03:12,CJRMX1600007CN
1505,a1K8b00000QV1h4EAD,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,7479051,,Field Service,Field Service,OCT-09-2015,Falha nos capacitores do power pan.,Magnet,,Y,Brazil,MRI,,,"Máquina não liga após queda de energia, ruído alto a cheiro de queimado.",,,E equipamento apresentou barulho alto no CT e parou de funcionar.,CSRV01,"Foi verificado que a falha do equipamento se deu devido há um problema no power pan. Foi pedido importação do kit de upgrade para a versão Rayden do power pan pois a versão original não tinha em estoque. Chegado as peças kit de cabos, power pan e inversor, foi realizado a troca das mesmas e o equipamento subiu sem falhas. Foi realizado teste de qualidade de imagem ok.",Closed,Corrective Repair,Corrective Repair,10-06-2018,21:07,10-06-2018 21:07,,VALID,10-06-2018,03:28,10-06-2018 03:28,CT443038CN5
1506,a1K8b00000QVCfQEAX,"VIP// Premium// ARTEFATO DE ANEL NO EXAME 23162, NAS IMAGENS 1,2,11,12,13,22,23,24,33,34,35,44,45,46,55,56,66,67,77,78,80,209,220,231,232,242,243,253,254,264,265.  ",,,7503832,,Remote Service,Remote Service,AUG-13-2010,Acompanhamento no local necessário para confirmação da causa raiz.,Magnet,,Y,Brazil,MRI,,,"VIP// Premium// ARTEFATO DE ANEL NO EXAME 23162, NAS IMAGENS 1,2,11,12,13,22,23,24,33,34,35,44,45,46,55,56,66,67,77,78,80,209,220,231,232,242,243,253,254,264,265. ",,,Artefato em anel intermitente nas imagens,CSPG30,"Caso discutido com o cliente, Sr. Willian Almeida, para entender melhor o problema e coletar detalhes. Verificado histórico do sistema para problemas recorrentes. Conectado via insite. Analisado a configuração do sistema e logs de erros. Identificada a necessidade de atendimento presencial. Chamado encaminhado para campo com as observações pertinentes e sugestão de plano de ação.",Closed,Corrective Repair,Corrective Repair,10-06-2018,09:09,10-06-2018 09:09,,VALID,10-06-2018,04:07,10-06-2018 04:07,2807627
1507,a1K8b00000QUXoeEAH,"VIP // Premium // apresenta interferencia nos dois monitores da sala de comando desliga a tela, depois de finalizar um exame quando vai iniciar o exame do próximo paciente puxa a worklist do paciente anterior",,,7445208,,Field Service,Field Service,MAR-08-2018,Possível mau contato nos cabos de alimentação elétrica dos monitores (LCD).,Host machine,,Y,Brazil,MRI,,,"VIP // Premium // apresenta interferencia nos dois monitores da sala de comando desliga a tela, depois de finalizar um exame quando vai iniciar o exame do próximo paciente puxa a worklist do paciente anterior",,,Cliente relata desligamento de tela (monitores LCD) repentino e worklist com falha. Sem impacto a pacientes.,CSPK09,"Cliente no setor informa que não foram mais observados desligamentos dos monitores desde intervenção do Eng Juan ao reconectar cabos e verificar conexões. Não houve êxito na tentativa de reproduzir a falha. Quanto a falha mencionada no worklist, foi constatado que não é uma falha mas que se trata de configuração de preferências do usuário no CT.",Closed,Corrective Repair,Corrective Repair,10-06-2018,07:11,10-06-2018 07:11,,VALID,10-06-2018,09:07,10-06-2018 09:07,CT488369HM0
1508,a1K8b00000QUVvfEAH,No centra la mesa del tomografo y manda una alarma de que el scaner esta deshabilitado,,,7442722,,Remote Service,Remote Service,SEP-19-2016,Gantry did not reset correctly,Host machine,,Y,Mexico HQ,MRI,,,No centra la mesa del tomografo y manda una alarma de que el scaner esta deshabilitado,,,Scanner deshabilitado,CSPK07,"Primero intente un scan reset remotamente y no funciono, posteriormente solicite la ayuda de la tecnica para reiniciar el equipo desde cero con lo que se restablecio la comunicacion con la consola. el equipo se dejo operativo.",Closed,Corrective Repair,Corrective Repair,10-06-2018,12:28,10-06-2018 12:28,,VALID,10-06-2018,10:33,10-06-2018 10:33,CTBARS1600001
1509,a1K8b00000QVBh1EAH,"Equipamento abortando a calibração. Mensagem Scan aborted by scanner.
Apis varias tentativas e desligamentos o equipamento passou na calibração.
",,,7457802,,Field Service,Field Service,MAR-02-2009,Darc com defeito,Host machine,,Y,Brazil,MRI,,,"Equipamento abortando a calibração. Mensagem Scan aborted by scanner.
Apis varias tentativas e desligamentos o equipamento passou na calibração.

Chamado DASA 115410",,,Apresentando problema de reconstrução ao inicializar,CSPC19,"Retornado Host antigo, pois o  instalado estava apresentando falha de comunicação e feita a troca da Darc e novo LFC.;;Software inicializou sem falhas, feito calibração diária e testes com phantom sem problemas de reconstrução.",Fixed,Corrective Repair,Corrective Repair,10-06-2018,14:04,10-06-2018 14:04,,VALID,10-06-2018,12:09,10-06-2018 12:09,2748467
